forecast_date,target_end_date,location,quantile,value
2025-03-22,2025-03-29,06,0.01,370
2025-03-22,2025-03-29,06,0.025,395
2025-03-22,2025-03-29,06,0.05,420
2025-03-22,2025-03-29,06,0.1,450
2025-03-22,2025-03-29,06,0.15,465
2025-03-22,2025-03-29,06,0.2,480
2025-03-22,2025-03-29,06,0.25,495
2025-03-22,2025-03-29,06,0.3,505
2025-03-22,2025-03-29,06,0.35,510
2025-03-22,2025-03-29,06,0.4,515
2025-03-22,2025-03-29,06,0.45,520
2025-03-22,2025-03-29,06,0.5,525
2025-03-22,2025-03-29,06,0.55,530
2025-03-22,2025-03-29,06,0.6,535
2025-03-22,2025-03-29,06,0.65,545
2025-03-22,2025-03-29,06,0.7,555
2025-03-22,2025-03-29,06,0.75,565
2025-03-22,2025-03-29,06,0.8,580
2025-03-22,2025-03-29,06,0.85,595
2025-03-22,2025-03-29,06,0.9,610
2025-03-22,2025-03-29,06,0.95,630
2025-03-22,2025-03-29,06,0.975,645
2025-03-22,2025-03-29,06,0.99,660
