forecast_date,target_end_date,location,quantile,value
2025-03-22,2025-03-29,06,0.01,360
2025-03-22,2025-03-29,06,0.025,380
2025-03-22,2025-03-29,06,0.05,395
2025-03-22,2025-03-29,06,0.1,415
2025-03-22,2025-03-29,06,0.15,430
2025-03-22,2025-03-29,06,0.2,440
2025-03-22,2025-03-29,06,0.25,450
2025-03-22,2025-03-29,06,0.3,460
2025-03-22,2025-03-29,06,0.35,470
2025-03-22,2025-03-29,06,0.4,478
2025-03-22,2025-03-29,06,0.45,488
2025-03-22,2025-03-29,06,0.5,500
2025-03-22,2025-03-29,06,0.55,512
2025-03-22,2025-03-29,06,0.6,522
2025-03-22,2025-03-29,06,0.65,530
2025-03-22,2025-03-29,06,0.7,540
2025-03-22,2025-03-29,06,0.75,550
2025-03-22,2025-03-29,06,0.8,565
2025-03-22,2025-03-29,06,0.85,580
2025-03-22,2025-03-29,06,0.9,605
2025-03-22,2025-03-29,06,0.95,635
2025-03-22,2025-03-29,06,0.975,660
2025-03-22,2025-03-29,06,0.99,690
