forecast_date,target_end_date,location,quantile,value
2025-03-22,2025-03-29,06,0.01,360
2025-03-22,2025-03-29,06,0.025,375
2025-03-22,2025-03-29,06,0.05,385
2025-03-22,2025-03-29,06,0.1,400
2025-03-22,2025-03-29,06,0.15,415
2025-03-22,2025-03-29,06,0.2,425
2025-03-22,2025-03-29,06,0.25,435
2025-03-22,2025-03-29,06,0.3,445
2025-03-22,2025-03-29,06,0.35,455
2025-03-22,2025-03-29,06,0.4,464
2025-03-22,2025-03-29,06,0.45,472
2025-03-22,2025-03-29,06,0.5,480
2025-03-22,2025-03-29,06,0.55,488
2025-03-22,2025-03-29,06,0.6,496
2025-03-22,2025-03-29,06,0.65,505
2025-03-22,2025-03-29,06,0.7,515
2025-03-22,2025-03-29,06,0.75,525
2025-03-22,2025-03-29,06,0.8,535
2025-03-22,2025-03-29,06,0.85,545
2025-03-22,2025-03-29,06,0.9,555
2025-03-22,2025-03-29,06,0.95,565
2025-03-22,2025-03-29,06,0.975,575
2025-03-22,2025-03-29,06,0.99,590
