forecast_date,target_end_date,location,quantile,value
2025-03-22,2025-03-29,06,0.01,455
2025-03-22,2025-03-29,06,0.025,468
2025-03-22,2025-03-29,06,0.05,479
2025-03-22,2025-03-29,06,0.1,492
2025-03-22,2025-03-29,06,0.15,501
2025-03-22,2025-03-29,06,0.2,508
2025-03-22,2025-03-29,06,0.25,515
2025-03-22,2025-03-29,06,0.3,520
2025-03-22,2025-03-29,06,0.35,524
2025-03-22,2025-03-29,06,0.4,528
2025-03-22,2025-03-29,06,0.45,532
2025-03-22,2025-03-29,06,0.5,535
2025-03-22,2025-03-29,06,0.55,539
2025-03-22,2025-03-29,06,0.6,543
2025-03-22,2025-03-29,06,0.65,547
2025-03-22,2025-03-29,06,0.7,552
2025-03-22,2025-03-29,06,0.75,558
2025-03-22,2025-03-29,06,0.8,565
2025-03-22,2025-03-29,06,0.85,573
2025-03-22,2025-03-29,06,0.9,582
2025-03-22,2025-03-29,06,0.95,596
2025-03-22,2025-03-29,06,0.975,608
2025-03-22,2025-03-29,06,0.99,620
