forecast_date,target_end_date,location,quantile,value
2025-03-22,2025-03-29,06,0.01,505
2025-03-22,2025-03-29,06,0.025,512
2025-03-22,2025-03-29,06,0.05,518
2025-03-22,2025-03-29,06,0.1,525
2025-03-22,2025-03-29,06,0.15,530
2025-03-22,2025-03-29,06,0.2,534
2025-03-22,2025-03-29,06,0.25,538
2025-03-22,2025-03-29,06,0.3,541
2025-03-22,2025-03-29,06,0.35,544
2025-03-22,2025-03-29,06,0.4,547
2025-03-22,2025-03-29,06,0.45,549
2025-03-22,2025-03-29,06,0.5,552
2025-03-22,2025-03-29,06,0.55,555
2025-03-22,2025-03-29,06,0.6,557
2025-03-22,2025-03-29,06,0.65,560
2025-03-22,2025-03-29,06,0.7,563
2025-03-22,2025-03-29,06,0.75,567
2025-03-22,2025-03-29,06,0.8,571
2025-03-22,2025-03-29,06,0.85,576
2025-03-22,2025-03-29,06,0.9,582
2025-03-22,2025-03-29,06,0.95,590
2025-03-22,2025-03-29,06,0.975,596
2025-03-22,2025-03-29,06,0.99,604
