forecast_date,target_end_date,location,quantile,value
2025-03-22,2025-03-29,06,0.01,525
2025-03-22,2025-03-29,06,0.025,531
2025-03-22,2025-03-29,06,0.05,536
2025-03-22,2025-03-29,06,0.1,542
2025-03-22,2025-03-29,06,0.15,546
2025-03-22,2025-03-29,06,0.2,550
2025-03-22,2025-03-29,06,0.25,553
2025-03-22,2025-03-29,06,0.3,555
2025-03-22,2025-03-29,06,0.35,557
2025-03-22,2025-03-29,06,0.4,558
2025-03-22,2025-03-29,06,0.45,559
2025-03-22,2025-03-29,06,0.5,560
2025-03-22,2025-03-29,06,0.55,561
2025-03-22,2025-03-29,06,0.06,562
2025-03-22,2025-03-29,06,0.65,563
2025-03-22,2025-03-29,06,0.7,565
2025-03-22,2025-03-29,06,0.75,567
2025-03-22,2025-03-29,06,0.8,570
2025-03-22,2025-03-29,06,0.85,574
2025-03-22,2025-03-29,06,0.9,578
2025-03-22,2025-03-29,06,0.95,584
2025-03-22,2025-03-29,06,0.975,589
2025-03-22,2025-03-29,06,0.99,595
