forecast_date,target_end_date,location,quantile,value
2025-03-22,2025-03-29,06,0.01,435
2025-03-22,2025-03-29,06,0.025,450
2025-03-22,2025-03-29,06,0.05,465
2025-03-22,2025-03-29,06,0.1,480
2025-03-22,2025-03-29,06,0.15,492
2025-03-22,2025-03-29,06,0.2,501
2025-03-22,2025-03-29,06,0.25,510
2025-03-22,2025-03-29,06,0.3,518
2025-03-22,2025-03-29,06,0.35,525
2025-03-22,2025-03-29,06,0.4,532
2025-03-22,2025-03-29,06,0.45,539
2025-03-22,2025-03-29,06,0.5,545
2025-03-22,2025-03-29,06,0.55,551
2025-03-22,2025-03-29,06,0.6,558
2025-03-22,2025-03-29,06,0.65,565
2025-03-22,2025-03-29,06,0.7,572
2025-03-22,2025-03-29,06,0.75,580
2025-03-22,2025-03-29,06,0.8,589
2025-03-22,2025-03-29,06,0.85,600
2025-03-22,2025-03-29,06,0.9,615
2025-03-22,2025-03-29,06,0.95,635
2025-03-22,2025-03-29,06,0.975,650
2025-03-22,2025-03-29,06,0.99,665
