forecast_date,target_end_date,location,quantile,value
2025-03-22,2025-03-29,06,0.01,310
2025-03-22,2025-03-29,06,0.025,325
2025-03-22,2025-03-29,06,0.05,340
2025-03-22,2025-03-29,06,0.1,355
2025-03-22,2025-03-29,06,0.15,370
2025-03-22,2025-03-29,06,0.2,380
2025-03-22,2025-03-29,06,0.25,390
2025-03-22,2025-03-29,06,0.3,400
2025-03-22,2025-03-29,06,0.35,410
2025-03-22,2025-03-29,06,0.4,415
2025-03-22,2025-03-29,06,0.45,420
2025-03-22,2025-03-29,06,0.5,425
2025-03-22,2025-03-29,06,0.55,430
2025-03-22,2025-03-29,06,0.6,435
2025-03-22,2025-03-29,06,0.65,440
2025-03-22,2025-03-29,06,0.7,450
2025-03-22,2025-03-29,06,0.75,460
2025-03-22,2025-03-29,06,0.8,470
2025-03-22,2025-03-29,06,0.85,480
2025-03-22,2025-03-29,06,0.9,495
2025-03-22,2025-03-29,06,0.95,515
2025-03-22,2025-03-29,06,0.975,530
2025-03-22,2025-03-29,06,0.99,550
