forecast_date,target_end_date,location,quantile,value
2025-03-22,2025-03-29,06,0.01,485
2025-03-22,2025-03-29,06,0.025,495
2025-03-22,2025-03-29,06,0.05,508
2025-03-22,2025-03-29,06,0.1,520
2025-03-22,2025-03-29,06,0.15,527
2025-03-22,2025-03-29,06,0.2,532
2025-03-22,2025-03-29,06,0.25,535
2025-03-22,2025-03-29,06,0.3,540
2025-03-22,2025-03-29,06,0.35,545
2025-03-22,2025-03-29,06,0.4,550
2025-03-22,2025-03-29,06,0.45,555
2025-03-22,2025-03-29,06,0.5,560
2025-03-22,2025-03-29,06,0.55,565
2025-03-22,2025-03-29,06,0.6,570
2025-03-22,2025-03-29,06,0.65,575
2025-03-22,2025-03-29,06,0.7,580
2025-03-22,2025-03-29,06,0.75,585
2025-03-22,2025-03-29,06,0.8,593
2025-03-22,2025-03-29,06,0.85,602
2025-03-22,2025-03-29,06,0.9,610
2025-03-22,2025-03-29,06,0.95,620
2025-03-22,2025-03-29,06,0.975,625
2025-03-22,2025-03-29,06,0.99,635
